LHD_name,LGA_name
Central Coast,Central Coast
Far West,Balranald 
Far West,Broken Hill
Far West,Central Darling
Far West,Wentworth
Far West,Unincorporated - Far West Area
Hunter New England,Armidale Regional
Hunter New England,Cessnock
Hunter New England,Dungog
Hunter New England,Glen Innes Severn
Hunter New England,Gunnedah
Hunter New England,Gwydir
Hunter New England,Inverell
Hunter New England,Lake Macquarie
Hunter New England,Liverpool Plains
Hunter New England,Maitland
Hunter New England,Mid-Coast
Hunter New England,Moree Plains
Hunter New England,Muswellbrook
Hunter New England,Narrabri
Hunter New England,Newcastle
Hunter New England,Port Stephens
Hunter New England,Singleton
Hunter New England,Tamworth Regional
Hunter New England,Tenterfield
Hunter New England,Upper Hunter
Hunter New England,Uralla
Hunter New England,Walcha
Illawarra Shoalhaven,Kiama
Illawarra Shoalhaven,Shellharbour
Illawarra Shoalhaven,Shoalhaven
Illawarra Shoalhaven,Wollongong
Mid North Coast,Bellingen
Mid North Coast,Coffs Harbour
Mid North Coast,Kempsey
Mid North Coast,Nambucca Valley
Mid North Coast,Port Macquarie-Hastings
Murrumbidgee,Berrigan
Murrumbidgee,Bland
Murrumbidgee,Carrathool
Murrumbidgee,Coolamon
Murrumbidgee,Edward River
Murrumbidgee,Federation
Murrumbidgee,Greater Hume
Murrumbidgee,Griffith
Murrumbidgee,Gundagai
Murrumbidgee,Cootamundra-Gundagai Regional
Murrumbidgee,Hay
Murrumbidgee,Hilltops
Murrumbidgee,Junee
Murrumbidgee,Lachlan
Murrumbidgee,Leeton
Murrumbidgee,Lockhart
Murrumbidgee,Murray River
Murrumbidgee,Murrumbidgee
Murrumbidgee,Narrandera
Murrumbidgee,Snowy Valleys
Murrumbidgee,Temora
Murrumbidgee,Wagga Wagga
Nepean Blue Mountains,Blue Mountains
Nepean Blue Mountains,Hawkesbury
Nepean Blue Mountains,Lithgow
Nepean Blue Mountains,Penrith
Northern Sydney,Hornsby
Northern Sydney,Hunters Hill
Northern Sydney,Ku-ring-gai
Northern Sydney,Lane Cove
Northern Sydney,Mosman
Northern Sydney,North Sydney
Northern Sydney,Northern Beaches
Northern Sydney,Parramatta
Northern Sydney,Ryde
Northern Sydney,Willoughby
Northern NSW,Ballina
Northern NSW,Byron
Northern NSW,Clarence Valley
Northern NSW,Kyogle
Northern NSW,Lismore
Northern NSW,Richmond Valley
Northern NSW,Tweed
South Eastern Sydney,Bayside
South Eastern Sydney,Botany Bay
South Eastern Sydney,Georges River
South Eastern Sydney,Randwick
South Eastern Sydney,Rockdale
South Eastern Sydney,Sutherland
South Eastern Sydney,Sydney
South Eastern Sydney,Waverley
South Eastern Sydney,Woollahra
South Western Sydney,Canterbury-Bankstown
South Western Sydney,Camden
South Western Sydney,Campbelltown
South Western Sydney,Fairfield
South Western Sydney,Liverpool
South Western Sydney,Wingecarribee
South Western Sydney,Wollondilly
Southern NSW,Bega Valley
Southern NSW,Eurobodalla
Southern NSW,Goulburn Mulwaree
Southern NSW,Queanbeyan-Palerang Regional
Southern NSW,Snowy Monaro Regional
Southern NSW,Upper Lachlan
Southern NSW,Yass Valley
Sydney,Burwood
Sydney,Canada Bay
Sydney,Canterbury-Bankstown
Sydney,Inner West
Sydney,Strathfield
Western NSW,Bathurst Regional
Western NSW,Blayney
Western NSW,Bogan
Western NSW,Bourke
Western NSW,Brewarrina
Western NSW,Cabonne
Western NSW,Cobar
Western NSW,Coonamble
Western NSW,Cowra
Western NSW,Forbes
Western NSW,Gilgandra
Western NSW,Lachlan
Western NSW,Mid-Western Regional
Western NSW,Narromine
Western NSW,Oberon
Western NSW,Orange
Western NSW,Parkes
Western NSW,Walgett
Western NSW,Warren
Western NSW,Warrumbungle
Western NSW,Weddin
Western NSW,Dubbo Regional
Western Sydney,Blacktown
Western Sydney,Cumberland
Western Sydney,Parramatta
Western Sydney,The Hills
